Campo,Valor,Porcentagem do Total de Focos
MATO GROSSO,7795,25.60%
SÃO PAULO,3180,10.44%
BAHIA,3073,10.09%
TOCANTINS,2480,8.14%
PARANÁ,2212,7.26%
MINAS GERAIS,2060,6.77%
RORAIMA,1784,5.86%
GOIÁS,1646,5.41%
MATO GROSSO DO SUL,1343,4.41%
ESPÍRITO SANTO,789,2.59%
MARANHÃO,679,2.23%
RIO DE JANEIRO,562,1.85%
PARÁ,505,1.66%
RONDÔNIA,450,1.48%
PIAUÍ,318,1.04%
SANTA CATARINA,297,0.98%
AMAZONAS,199,0.65%
RIO GRANDE DO SUL,195,0.64%
PERNAMBUCO,179,0.59%
SERGIPE,169,0.56%
ALAGOAS,126,0.41%
RIO GRANDE DO NORTE,119,0.39%
CEARÁ,115,0.38%
DISTRITO FEDERAL,61,0.20%
ACRE,57,0.19%
PARAÍBA,53,0.17%
AMAPÁ,3,0.01%
