Campo,Valor,Porcentagem do Total de Focos
AMAZONAS,7244,20.26%
RORAIMA,4729,13.22%
MATO GROSSO,4459,12.47%
BAHIA,3803,10.63%
PARÁ,3191,8.92%
TOCANTINS,2909,8.13%
MARANHÃO,2134,5.97%
MINAS GERAIS,1404,3.93%
GOIÁS,828,2.32%
PIAUÍ,736,2.06%
SÃO PAULO,644,1.80%
MATO GROSSO DO SUL,519,1.45%
RONDÔNIA,493,1.38%
RIO GRANDE DO SUL,416,1.16%
ESPÍRITO SANTO,379,1.06%
ALAGOAS,358,1.00%
PERNAMBUCO,328,0.92%
SERGIPE,327,0.91%
CEARÁ,267,0.75%
PARANÁ,151,0.42%
RIO DE JANEIRO,128,0.36%
PARAÍBA,122,0.34%
RIO GRANDE DO NORTE,97,0.27%
SANTA CATARINA,42,0.12%
DISTRITO FEDERAL,29,0.08%
ACRE,18,0.05%
AMAPÁ,9,0.03%
