Campo,Valor,Porcentagem do Total de Focos
MATO GROSSO,24350,32.74%
TOCANTINS,13994,18.82%
MARANHÃO,6820,9.17%
PARÁ,4759,6.40%
PIAUÍ,4487,6.03%
BAHIA,4223,5.68%
SÃO PAULO,3008,4.04%
GOIÁS,2955,3.97%
MINAS GERAIS,2316,3.11%
RONDÔNIA,2010,2.70%
MATO GROSSO DO SUL,1290,1.73%
AMAZONAS,1149,1.54%
PARANÁ,1115,1.50%
ACRE,394,0.53%
RIO GRANDE DO SUL,332,0.45%
SANTA CATARINA,231,0.31%
RIO DE JANEIRO,222,0.30%
CEARÁ,203,0.27%
PERNAMBUCO,148,0.20%
ESPÍRITO SANTO,118,0.16%
RIO GRANDE DO NORTE,69,0.09%
PARAÍBA,47,0.06%
ALAGOAS,45,0.06%
DISTRITO FEDERAL,37,0.05%
AMAPÁ,18,0.02%
RORAIMA,18,0.02%
SERGIPE,18,0.02%
