Campo,Valor,Porcentagem do Total de Focos
ACRE,112,0.27%
ALAGOAS,38,0.09%
AMAPÁ,6,0.01%
AMAZONAS,279,0.68%
BAHIA,1867,4.53%
CEARÁ,44,0.11%
DISTRITO FEDERAL,52,0.13%
ESPÍRITO SANTO,76,0.18%
GOIÁS,2365,5.74%
MARANHÃO,2571,6.24%
MATO GROSSO,14281,34.68%
MATO GROSSO DO SUL,1383,3.36%
MINAS GERAIS,1680,4.08%
PARÁ,850,2.06%
PARAÍBA,17,0.04%
PARANÁ,2069,5.02%
PERNAMBUCO,99,0.24%
PIAUÍ,1597,3.88%
RIO DE JANEIRO,210,0.51%
RIO GRANDE DO NORTE,44,0.11%
RIO GRANDE DO SUL,622,1.51%
RONDÔNIA,404,0.98%
RORAIMA,109,0.26%
SANTA CATARINA,482,1.17%
SÃO PAULO,3510,8.52%
SERGIPE,30,0.07%
TOCANTINS,6386,15.51%
