Campo,Valor,Porcentagem do Total de Focos
ACRE,36,0.16%
ALAGOAS,114,0.50%
AMAPÁ,21,0.09%
AMAZONAS,105,0.46%
BAHIA,997,4.37%
CEARÁ,21,0.09%
DISTRITO FEDERAL,3,0.01%
ESPÍRITO SANTO,77,0.34%
GOIÁS,633,2.77%
MARANHÃO,394,1.73%
MATO GROSSO,1858,8.15%
MATO GROSSO DO SUL,1149,5.04%
MINAS GERAIS,811,3.56%
PARÁ,140,0.61%
PARAÍBA,10,0.04%
PARANÁ,2238,9.81%
PERNAMBUCO,73,0.32%
PIAUÍ,134,0.59%
RIO DE JANEIRO,90,0.39%
RIO GRANDE DO NORTE,24,0.11%
RIO GRANDE DO SUL,695,3.05%
RONDÔNIA,103,0.45%
RORAIMA,9496,41.63%
SANTA CATARINA,877,3.84%
SÃO PAULO,1817,7.97%
SERGIPE,136,0.60%
TOCANTINS,759,3.33%
