Campo,Valor,Porcentagem do Total de Focos
ACRE,16,0.04%
ALAGOAS,381,0.89%
AMAPÁ,4,0.01%
AMAZONAS,1193,2.79%
BAHIA,3626,8.49%
CEARÁ,225,0.53%
DISTRITO FEDERAL,12,0.03%
ESPÍRITO SANTO,1325,3.10%
GOIÁS,548,1.28%
MARANHÃO,316,0.74%
MATO GROSSO,2378,5.57%
MATO GROSSO DO SUL,734,1.72%
MINAS GERAIS,1058,2.48%
PARÁ,465,1.09%
PARAÍBA,119,0.28%
PARANÁ,802,1.88%
PERNAMBUCO,222,0.52%
PIAUÍ,312,0.73%
RIO DE JANEIRO,97,0.23%
RIO GRANDE DO NORTE,100,0.23%
RIO GRANDE DO SUL,370,0.87%
RONDÔNIA,101,0.24%
RORAIMA,26254,61.48%
SANTA CATARINA,204,0.48%
SÃO PAULO,642,1.50%
SERGIPE,423,0.99%
TOCANTINS,774,1.81%
