Campo,Valor,Porcentagem do Total de Focos
ACRE,80,0.15%
ALAGOAS,639,1.19%
AMAPÁ,140,0.26%
AMAZONAS,6119,11.41%
BAHIA,2678,5.00%
CEARÁ,900,1.68%
DISTRITO FEDERAL,1,0.00%
ESPÍRITO SANTO,566,1.06%
GOIÁS,146,0.27%
MARANHÃO,3561,6.64%
MATO GROSSO,1241,2.32%
MATO GROSSO DO SUL,681,1.27%
MINAS GERAIS,441,0.82%
PARÁ,15456,28.83%
PARAÍBA,204,0.38%
PARANÁ,874,1.63%
PERNAMBUCO,310,0.58%
PIAUÍ,496,0.93%
RIO DE JANEIRO,57,0.11%
RIO GRANDE DO NORTE,131,0.24%
RIO GRANDE DO SUL,597,1.11%
RONDÔNIA,640,1.19%
RORAIMA,16387,30.57%
SANTA CATARINA,466,0.87%
SÃO PAULO,502,0.94%
SERGIPE,117,0.22%
TOCANTINS,175,0.33%
