Campo,Valor,Porcentagem do Total de Focos
ACRE,449,0.24%
ALAGOAS,1391,0.74%
AMAPÁ,8578,4.54%
AMAZONAS,3445,1.82%
BAHIA,5363,2.84%
CEARÁ,10228,5.42%
DISTRITO FEDERAL,8,0.00%
ESPÍRITO SANTO,154,0.08%
GOIÁS,2028,1.07%
MARANHÃO,46924,24.85%
MATO GROSSO,8244,4.37%
MATO GROSSO DO SUL,3865,2.05%
MINAS GERAIS,1956,1.04%
PARÁ,57514,30.45%
PARAÍBA,1992,1.05%
PARANÁ,2377,1.26%
PERNAMBUCO,2679,1.42%
PIAUÍ,14239,7.54%
RIO DE JANEIRO,292,0.15%
RIO GRANDE DO NORTE,1220,0.65%
RIO GRANDE DO SUL,1063,0.56%
RONDÔNIA,3598,1.91%
RORAIMA,786,0.42%
SANTA CATARINA,879,0.47%
SÃO PAULO,1114,0.59%
SERGIPE,358,0.19%
TOCANTINS,8111,4.29%
