Campo,Valor,Porcentagem do Total de Focos
ACRE,18,0.05%
ALAGOAS,358,1.00%
AMAPÁ,9,0.03%
AMAZONAS,7244,20.26%
BAHIA,3803,10.63%
CEARÁ,267,0.75%
DISTRITO FEDERAL,29,0.08%
ESPÍRITO SANTO,379,1.06%
GOIÁS,828,2.32%
MARANHÃO,2134,5.97%
MATO GROSSO,4459,12.47%
MATO GROSSO DO SUL,519,1.45%
MINAS GERAIS,1404,3.93%
PARÁ,3191,8.92%
PARAÍBA,122,0.34%
PARANÁ,151,0.42%
PERNAMBUCO,328,0.92%
PIAUÍ,736,2.06%
RIO DE JANEIRO,128,0.36%
RIO GRANDE DO NORTE,97,0.27%
RIO GRANDE DO SUL,416,1.16%
RONDÔNIA,493,1.38%
RORAIMA,4729,13.22%
SANTA CATARINA,42,0.12%
SÃO PAULO,644,1.80%
SERGIPE,327,0.91%
TOCANTINS,2909,8.13%
