datahora,estado,riscofogo,riscoAbsoluto
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,0.32,0
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,0.48,0
2019/06/01 05:10:00,MATO GROSSO,0.48,0
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,0.29,0
2019/06/01 05:10:00,MATO GROSSO,0.27,0
2019/06/01 05:10:00,MATO GROSSO,0.31,0
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,0.3,0
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/01 05:10:00,MATO GROSSO,1,1
2019/06/02 04:15:00,PIAUI,0.99,1
2019/06/02 04:15:00,PIAUI,0.99,1
2019/06/02 04:15:00,BAHIA,0.54,0
2019/06/02 04:15:00,BAHIA,0.98,1
2019/06/02 04:15:00,PIAUI,1,1
2019/06/02 04:20:00,MINAS GERAIS,1,1
2019/06/02 04:20:00,MINAS GERAIS,0.58,0
2019/06/02 04:20:00,MINAS GERAIS,0.51,0
2019/06/02 04:20:00,SAO PAULO,1,1
2019/06/02 04:20:00,SAO PAULO,1,1
2019/06/02 04:20:00,SAO PAULO,1,1
2019/06/02 04:20:00,SAO PAULO,1,1
2019/06/02 04:20:00,SAO PAULO,1,1
2019/06/03 05:00:00,MATO GROSSO,1,1
2019/06/03 05:00:00,TOCANTINS,0.49,0
2019/06/03 05:00:00,MATO GROSSO,0.28,0
2019/06/03 05:00:00,MATO GROSSO,1,1
2019/06/03 05:00:00,MATO GROSSO,1,1
2019/06/03 05:00:00,MATO GROSSO,1,1
2019/06/03 05:00:00,MATO GROSSO,1,1
2019/06/03 05:00:00,MATO GROSSO,0.37,0
2019/06/03 05:00:00,MATO GROSSO,0.37,0
2019/06/04 04:00:00,PIAUI,0.97,1
2019/06/04 04:05:00,BAHIA,1,1
2019/06/04 04:05:00,BAHIA,0.77,1
2019/06/04 04:05:00,BAHIA,0.76,1
2019/06/05 04:45:00,TOCANTINS,1,1
2019/06/05 04:45:00,TOCANTINS,0.65,0
2019/06/05 04:45:00,PIAUI,1,1
2019/06/05 04:45:00,TOCANTINS,1,1
