Local,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,ANO
RIO GRANDE DO SUL,289,412,523,493,321,532,3933,4087,2046,485,1512,1418,2017
RONDÔNIA,396,98,124,145,345,1755,12403,45605,53553,21045,2708,509,2017
RORAIMA,1043,1798,2149,997,166,82,47,461,532,1692,4577,4080,2017
SANTA CATARINA,240,261,145,206,159,366,2185,2861,3070,335,1161,460,2017
SÃO PAULO,250,1149,778,728,738,1614,6317,7482,24290,3377,1148,810,2017
SERGIPE,782,465,254,75,17,4,6,4,5,38,84,124,2017
TOCANTINS,637,98,338,890,4847,8462,20207,40804,126080,61811,6272,795,2017
ACRE,,,,,,,,,,,,,2018
ALAGOAS,,,,,,,,,,,,,2018
AMAPÁ,,,,,,,,,,,,,2018
AMAZONAS,,,,,,,,,,,,,2018
BAHIA,,,,,,,,,,,,,2018
CEARÁ,,,,,,,,,,,,,2018
DISTRITO FEDERAL,,,,,,,,,,,,,2018
ESPÍRITO SANTO,,,,,,,,,,,,,2018
GOIÁS,,,,,,,,,,,,,2018
MARANHÃO,,,,,,,,,,,,,2018
MATO GROSSO,,,,,,,,,,,,,2018
MATO GROSSO DO SUL,,,,,,,,,,,,,2018
MINAS GERAIS,,,,,,,,,,,,,2018
PARÁ,,,,,,,,,,,,,2018
PARAÍBA,,,,,,,,,,,,,2018
PARANÁ,,,,,,,,,,,,,2018
PERNAMBUCO,,,,,,,,,,,,,2018
PIAUÍ,,,,,,,,,,,,,2018
RIO DE JANEIRO,,,,,,,,,,,,,2018
RIO GRANDE DO NORTE,,,,,,,,,,,,,2018
RIO GRANDE DO SUL,,,,,,,,,,,,,2018
RONDÔNIA,,,,,,,,,,,,,2018
RORAIMA,,,,,,,,,,,,,2018
SANTA CATARINA,,,,,,,,,,,,,2018
SÃO PAULO,,,,,,,,,,,,,2018
SERGIPE,,,,,,,,,,,,,2018
TOCANTINS,,,,,,,,,,,,,2018
ACRE,,,,,,,,,,,,,2019
ALAGOAS,,,,,,,,,,,,,2019
AMAPÁ,,,,,,,,,,,,,2019
AMAZONAS,,,,,,,,,,,,,2019
BAHIA,,,,,,,,,,,,,2019
CEARÁ,,,,,,,,,,,,,2019
DISTRITO FEDERAL,,,,,,,,,,,,,2019
ESPÍRITO SANTO,,,,,,,,,,,,,2019
GOIÁS,,,,,,,,,,,,,2019
MARANHÃO,,,,,,,,,,,,,2019
MATO GROSSO,,,,,,,,,,,,,2019
MATO GROSSO DO SUL,,,,,,,,,,,,,2019
MINAS GERAIS,,,,,,,,,,,,,2019
PARÁ,,,,,,,,,,,,,2019
PARAÍBA,,,,,,,,,,,,,2019
PARANÁ,,,,,,,,,,,,,2019
PERNAMBUCO,,,,,,,,,,,,,2019
PIAUÍ,,,,,,,,,,,,,2019
RIO DE JANEIRO,,,,,,,,,,,,,2019
RIO GRANDE DO NORTE,,,,,,,,,,,,,2019
RIO GRANDE DO SUL,,,,,,,,,,,,,2019
RONDÔNIA,,,,,,,,,,,,,2019
RORAIMA,,,,,,,,,,,,,2019
SANTA CATARINA,,,,,,,,,,,,,2019
SÃO PAULO,,,,,,,,,,,,,2019
SERGIPE,,,,,,,,,,,,,2019
TOCANTINS,,,,,,,,,,,,,2019
