Campo,Valor,Porcentagem do Total de Focos
MATO GROSSO,9589,29.06%
TOCANTINS,6398,19.39%
BAHIA,3347,10.14%
GOIÁS,2291,6.94%
MINAS GERAIS,1908,5.78%
SÃO PAULO,1566,4.75%
MARANHÃO,1338,4.05%
PARÁ,1286,3.90%
MATO GROSSO DO SUL,858,2.60%
PARANÁ,711,2.15%
PIAUÍ,612,1.85%
RONDÔNIA,574,1.74%
ESPÍRITO SANTO,422,1.28%
AMAZONAS,267,0.81%
RIO DE JANEIRO,250,0.76%
SANTA CATARINA,212,0.64%
RIO GRANDE DO SUL,203,0.62%
ACRE,200,0.61%
CEARÁ,187,0.57%
PERNAMBUCO,163,0.49%
RIO GRANDE DO NORTE,154,0.47%
RORAIMA,148,0.45%
SERGIPE,93,0.28%
DISTRITO FEDERAL,86,0.26%
ALAGOAS,73,0.22%
PARAÍBA,40,0.12%
AMAPÁ,26,0.08%
