Campo,Valor,Porcentagem do Total de Focos
ACRE,1624,4.29%
ALAGOAS,3,0.01%
AMAPÁ,26,0.07%
AMAZONAS,4235,11.18%
BAHIA,791,2.09%
CEARÁ,118,0.31%
DISTRITO FEDERAL,53,0.14%
ESPÍRITO SANTO,28,0.07%
GOIÁS,876,2.31%
MARANHÃO,5411,14.28%
MATO GROSSO,4498,11.87%
MATO GROSSO DO SUL,1200,3.17%
MINAS GERAIS,962,2.54%
PARÁ,7672,20.25%
PARAÍBA,5,0.01%
PARANÁ,640,1.69%
PERNAMBUCO,21,0.06%
PIAUÍ,2039,5.38%
RIO DE JANEIRO,141,0.37%
RIO GRANDE DO NORTE,16,0.04%
RIO GRANDE DO SUL,381,1.01%
RONDÔNIA,3669,9.69%
RORAIMA,14,0.04%
SANTA CATARINA,382,1.01%
SÃO PAULO,627,1.66%
TOCANTINS,2451,6.47%
