Campo,Valor,Porcentagem do Total de Focos
ACRE,6199,0.94%
ALAGOAS,533,0.08%
AMAPÁ,7299,1.11%
AMAZONAS,20770,3.15%
BAHIA,57105,8.66%
CEARÁ,5734,0.87%
DISTRITO FEDERAL,337,0.05%
ESPÍRITO SANTO,2516,0.38%
GOIÁS,28078,4.26%
MARANHÃO,122841,18.64%
MATO GROSSO,80715,12.25%
MATO GROSSO DO SUL,5070,0.77%
MINAS GERAIS,39948,6.06%
PARÁ,109569,16.62%
PARAÍBA,1172,0.18%
PARANÁ,1264,0.19%
PERNAMBUCO,1830,0.28%
PIAUÍ,58130,8.82%
RIO DE JANEIRO,769,0.12%
RIO GRANDE DO NORTE,870,0.13%
RIO GRANDE DO SUL,486,0.07%
RONDÔNIA,23180,3.52%
RORAIMA,2575,0.39%
SANTA CATARINA,136,0.02%
SÃO PAULO,2713,0.41%
SERGIPE,101,0.02%
TOCANTINS,79128,12.01%
