Campo,Valor,Porcentagem do Total de Focos
MATO GROSSO,14892,24.01%
TOCANTINS,10236,16.51%
BAHIA,5500,8.87%
PARÁ,5374,8.67%
MARANHÃO,5092,8.21%
GOIÁS,3673,5.92%
MINAS GERAIS,2649,4.27%
SÃO PAULO,1959,3.16%
PIAUÍ,1918,3.09%
RIO GRANDE DO SUL,1751,2.82%
RONDÔNIA,1737,2.80%
PARANÁ,1641,2.65%
MATO GROSSO DO SUL,1413,2.28%
AMAZONAS,884,1.43%
ACRE,724,1.17%
SANTA CATARINA,609,0.98%
ESPÍRITO SANTO,572,0.92%
CEARÁ,334,0.54%
DISTRITO FEDERAL,218,0.35%
RIO DE JANEIRO,196,0.32%
PERNAMBUCO,178,0.29%
RIO GRANDE DO NORTE,170,0.27%
RORAIMA,92,0.15%
PARAÍBA,79,0.13%
ALAGOAS,52,0.08%
SERGIPE,48,0.08%
AMAPÁ,24,0.04%
