Campo,Valor,Porcentagem do Total de Focos
MATO GROSSO DO SUL,1991,14.00%
RORAIMA,1798,12.64%
BAHIA,1310,9.21%
SÃO PAULO,1149,8.08%
MINAS GERAIS,978,6.88%
ALAGOAS,961,6.76%
MATO GROSSO,957,6.73%
PERNAMBUCO,694,4.88%
PARANÁ,544,3.83%
RIO DE JANEIRO,538,3.78%
SERGIPE,465,3.27%
RIO GRANDE DO SUL,412,2.90%
GOIÁS,311,2.19%
AMAZONAS,271,1.91%
SANTA CATARINA,261,1.84%
MARANHÃO,259,1.82%
CEARÁ,229,1.61%
RIO GRANDE DO NORTE,207,1.46%
PARAÍBA,192,1.35%
PARÁ,179,1.26%
ESPÍRITO SANTO,145,1.02%
PIAUÍ,110,0.77%
RONDÔNIA,98,0.69%
TOCANTINS,98,0.69%
ACRE,47,0.33%
AMAPÁ,15,0.11%
DISTRITO FEDERAL,3,0.02%
