Campo,Valor,Porcentagem do Total de Focos
ACRE,14,0.09%
ALAGOAS,475,3.14%
AMAPÁ,5,0.03%
AMAZONAS,224,1.48%
BAHIA,2922,19.33%
CEARÁ,38,0.25%
DISTRITO FEDERAL,11,0.07%
ESPÍRITO SANTO,301,1.99%
GOIÁS,489,3.23%
MARANHÃO,175,1.16%
MATO GROSSO,2220,14.68%
MATO GROSSO DO SUL,1380,9.13%
MINAS GERAIS,1224,8.10%
PARÁ,196,1.30%
PARAÍBA,53,0.35%
PARANÁ,434,2.87%
PERNAMBUCO,285,1.88%
PIAUÍ,133,0.88%
RIO DE JANEIRO,175,1.16%
RIO GRANDE DO NORTE,55,0.36%
RIO GRANDE DO SUL,523,3.46%
RONDÔNIA,124,0.82%
RORAIMA,2149,14.21%
SANTA CATARINA,145,0.96%
SÃO PAULO,778,5.15%
SERGIPE,254,1.68%
TOCANTINS,338,2.24%
