Campo,Valor,Porcentagem do Total de Focos
ACRE,506,0.43%
ALAGOAS,52,0.04%
AMAPÁ,8,0.01%
AMAZONAS,825,0.71%
BAHIA,3742,3.20%
CEARÁ,209,0.18%
DISTRITO FEDERAL,122,0.10%
ESPÍRITO SANTO,403,0.34%
GOIÁS,4359,3.73%
MARANHÃO,9503,8.13%
MATO GROSSO,43280,37.05%
MATO GROSSO DO SUL,5946,5.09%
MINAS GERAIS,4761,4.08%
PARÁ,5420,4.64%
PARAÍBA,81,0.07%
PARANÁ,2489,2.13%
PERNAMBUCO,199,0.17%
PIAUÍ,4499,3.85%
RIO DE JANEIRO,866,0.74%
RIO GRANDE DO NORTE,77,0.07%
RIO GRANDE DO SUL,1016,0.87%
RONDÔNIA,2605,2.23%
RORAIMA,25,0.02%
SANTA CATARINA,916,0.78%
SÃO PAULO,4424,3.79%
SERGIPE,8,0.01%
TOCANTINS,20477,17.53%
