Campo,Valor,Porcentagem do Total de Focos
ACRE,61,0.12%
ALAGOAS,258,0.50%
AMAPÁ,3,0.01%
AMAZONAS,180,0.35%
BAHIA,2065,3.98%
CEARÁ,30,0.06%
DISTRITO FEDERAL,18,0.03%
ESPÍRITO SANTO,334,0.64%
GOIÁS,627,1.21%
MARANHÃO,379,0.73%
MATO GROSSO,3492,6.74%
MATO GROSSO DO SUL,1623,3.13%
MINAS GERAIS,1427,2.75%
PARÁ,331,0.64%
PARAÍBA,34,0.07%
PARANÁ,1078,2.08%
PERNAMBUCO,178,0.34%
PIAUÍ,249,0.48%
RIO DE JANEIRO,233,0.45%
RIO GRANDE DO NORTE,32,0.06%
RIO GRANDE DO SUL,733,1.41%
RONDÔNIA,185,0.36%
RORAIMA,34967,67.44%
SANTA CATARINA,298,0.57%
SÃO PAULO,1520,2.93%
SERGIPE,108,0.21%
TOCANTINS,1403,2.71%
